,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_min
popularity,1.0,-0.023119179696261885,,0.06428055078013972,0.013728467780697052,0.0034320988193864317,0.07167596317980704,-0.016213713894911864,-0.047081282508642915,-0.03884665953306151,-0.12746532742450273,-0.013843882115420108,-0.01152598962367277,0.007270248521674187,0.03689328968907121,-0.02311917969626244
duration_ms,-0.023119179696261885,1.0,,-0.06412950972824157,0.06326140578964692,0.011286228151091504,0.0003641693231599948,-0.03934695092528457,-0.06074392902793895,-0.10849928137169022,0.11738114462268667,0.008125500825651156,-0.147036947431952,0.02599127061042747,0.022602060204445867,1.000000000000001
explicit,,,,,,,,,,,,,,,,
danceability,0.06428055078013972,-0.06412950972824157,,1.0,0.14391379633478488,0.03511425990776258,0.27183879642399117,-0.06263329542966659,0.10952015190943715,-0.1770431144793603,-0.1947474625754594,-0.1322340976871195,0.49257069171531964,-0.02133120078276,0.21004143345181503,-0.06412950972824134
energy,0.013728467780697052,0.06326140578964692,,0.14391379633478488,1.0,0.04633401982354702,0.7587737351048869,-0.07501433492033471,0.1413322907324708,-0.7325664954270806,-0.18103678471830723,0.18894088147596372,0.2563133629946417,0.25862769380670086,0.1865337585443441,0.06326140578964481
key,0.0034320988193864317,0.011286228151091504,,0.03511425990776258,0.04633401982354702,1.0,0.03590188464192633,-0.14209578572845996,0.017759380013277985,-0.04515912653885256,-0.00528410174237046,-0.002583758936220894,0.026258480191539323,0.008274944082896972,0.014801341082321187,0.011286228151091217
loudness,0.07167596317980704,0.0003641693231599948,,0.27183879642399117,0.7587737351048869,0.03590188464192633,1.0,-0.03710754053603534,0.0552952894274662,-0.5826627889933842,-0.4347169203700059,0.07723927594220278,0.28909110336104693,0.22865882290613973,0.1936947992469999,0.0003641693231589315
mode,-0.016213713894911864,-0.03934695092528457,,-0.06263329542966659,-0.07501433492033471,-0.14209578572845996,-0.03710754053603534,1.0,-0.04079778073264017,0.0910202985459792,-0.05257956784315938,0.016776976572453133,0.025568217411409508,-0.0019025796895278827,-0.023903151636790885,-0.039346950925284355
speechiness,-0.047081282508642915,-0.06074392902793895,,0.10952015190943715,0.1413322907324708,0.017759380013277985,0.0552952894274662,-0.04079778073264017,1.0,0.005121490923470712,-0.09965760158033259,0.22510155007932617,0.03293190271057626,0.004031766269473367,-0.006198135133306109,-0.06074392902793904
acousticness,-0.03884665953306151,-0.10849928137169022,,-0.1770431144793603,-0.7325664954270806,-0.04515912653885256,-0.5826627889933842,0.0910202985459792,0.005121490923470712,1.0,0.09606533961789002,-0.01908109328606622,-0.10376740186953679,-0.2202436130904983,-0.17405364636585652,-0.10849928137168913
instrumentalness,-0.12746532742450273,0.11738114462268667,,-0.1947474625754594,-0.18103678471830723,-0.00528410174237046,-0.4347169203700059,-0.05257956784315938,-0.09965760158033259,0.09606533961789002,1.0,-0.08715241150397765,-0.33075909786298135,-0.056887846320793724,-0.08223655025916778,0.1173811446226859
liveness,-0.013843882115420108,0.008125500825651156,,-0.1322340976871195,0.18894088147596372,-0.002583758936220894,0.07723927594220278,0.016776976572453133,0.22510155007932617,-0.01908109328606622,-0.08715241150397765,1.0,0.012313816254462075,-0.006117417896068824,-0.030786854527705545,0.008125500825650516
valence,-0.01152598962367277,-0.147036947431952,,0.49257069171531964,0.2563133629946417,0.026258480191539323,0.28909110336104693,0.025568217411409508,0.03293190271057626,-0.10376740186953679,-0.33075909786298135,0.012313816254462075,1.0,0.09062236039239839,0.13552491906346928,-0.14703694743195012
tempo,0.007270248521674187,0.02599127061042747,,-0.02133120078276,0.25862769380670086,0.008274944082896972,0.22865882290613973,-0.0019025796895278827,0.004031766269473367,-0.2202436130904983,-0.056887846320793724,-0.006117417896068824,0.09062236039239839,1.0,0.08545553029916639,0.025991270610427292
time_signature,0.03689328968907121,0.022602060204445867,,0.21004143345181503,0.1865337585443441,0.014801341082321187,0.1936947992469999,-0.023903151636790885,-0.006198135133306109,-0.17405364636585652,-0.08223655025916778,-0.030786854527705545,0.13552491906346928,0.08545553029916639,1.0,0.022602060204445464
duration_min,-0.02311917969626244,1.000000000000001,,-0.06412950972824134,0.06326140578964481,0.011286228151091217,0.0003641693231589315,-0.039346950925284355,-0.06074392902793904,-0.10849928137168913,0.1173811446226859,0.008125500825650516,-0.14703694743195012,0.025991270610427292,0.022602060204445464,1.0
